scenario,subsystem,year,month,demand_mw
superior,SUDESTE,2025,10,49708.58934170196
superior,SUDESTE,2025,11,50528.23595743085
superior,SUDESTE,2025,12,49714.12349877389
superior,SUDESTE,2026,1,48212.920813628516
superior,SUDESTE,2026,2,52309.86025883547
superior,SUDESTE,2026,3,50628.8126387982
superior,SUDESTE,2026,4,50765.10578586256
superior,SUDESTE,2026,5,47693.4242297997
superior,SUDESTE,2026,6,48457.10633905269
superior,SUDESTE,2026,7,47065.38881385302
superior,SUDESTE,2026,8,48635.37536627869
superior,SUDESTE,2026,9,51780.94584883018
superior,SUDESTE,2026,10,52094.60163010365
superior,SUDESTE,2026,11,52953.59128338753
superior,SUDESTE,2026,12,52100.401426715034
superior,SUDESTE,2027,1,50527.14101268269
superior,SUDESTE,2027,2,54820.73355125958
superior,SUDESTE,2027,3,53058.99564546052
superior,SUDESTE,2027,4,53201.83086358397
superior,SUDESTE,2027,5,49982.708592830095
superior,SUDESTE,2027,6,50783.047443327225
superior,SUDESTE,2027,7,49324.52747691797
superior,SUDESTE,2027,8,50969.873383860075
superior,SUDESTE,2027,9,54266.43124957402
superior,SUDESTE,2027,10,54595.14250834863
superior,SUDESTE,2027,11,55495.36366499013
superior,SUDESTE,2027,12,54601.22069519736
superior,SUDESTE,2028,1,52952.443781291455
superior,SUDESTE,2028,2,57452.12876172005
superior,SUDESTE,2028,3,55605.827436442625
superior,SUDESTE,2028,4,55755.518745036
superior,SUDESTE,2028,5,52381.878605285936
superior,SUDESTE,2028,6,53220.63372060694
superior,SUDESTE,2028,7,51692.10479581003
superior,SUDESTE,2028,8,53416.42730628536
superior,SUDESTE,2028,9,56871.21994955359
superior,SUDESTE,2028,10,57215.70934874937
superior,SUDESTE,2028,11,58159.141120909655
superior,SUDESTE,2028,12,57222.079288566834
superior,SUL,2025,1,14737.60466790835
superior,SUL,2025,2,16386.563054282025
superior,SUL,2025,3,15361.31863408848
superior,SUL,2025,4,15004.325872833964
superior,SUL,2025,5,13586.266305125337
superior,SUL,2025,6,13850.709552037475
superior,SUL,2025,7,13668.013979153315
superior,SUL,2025,8,14008.262963151941
superior,SUL,2025,9,14319.266290036454
superior,SUL,2025,10,14145.088406174431
superior,SUL,2025,11,14896.018153879237
superior,SUL,2025,12,14927.869234230498
superior,SUL,2026,1,15371.321668628409
superior,SUL,2026,2,17091.185265616154
superior,SUL,2026,3,16021.855335354283
superior,SUL,2026,4,15649.511885365824
superior,SUL,2026,5,14170.475756245725
superior,SUL,2026,6,14446.290062775086
superior,SUL,2026,7,14255.738580256908
superior,SUL,2026,8,14610.618270567473
superior,SUL,2026,9,14934.994740508022
superior,SUL,2026,10,14753.32720763993
superior,SUL,2026,11,15536.546934496044
superior,SUL,2026,12,15569.767611302408
superior,SUL,2027,1,16032.288500379429
superior,SUL,2027,2,17826.106232037644
superior,SUL,2027,3,16710.795114774515
superior,SUL,2027,4,16322.440896436556
superior,SUL,2027,5,14779.806213764292
superior,SUL,2027,6,15067.480535474411
superior,SUL,2027,7,14868.735339207951
superior,SUL,2027,8,15238.874856201874
superior,SUL,2027,9,15577.199514349864
superior,SUL,2027,10,15387.72027756845
superior,SUL,2027,11,16204.618452679371
superior,SUL,2027,12,16239.26761858841
superior,SUL,2028,1,16721.676905895743
superior,SUL,2028,2,18592.62880001526
superior,SUL,2028,3,17429.359304709822
superior,SUL,2028,4,17024.305854983326
superior,SUL,2028,5,15415.337880956155
superior,SUL,2028,6,15715.382198499814
superior,SUL,2028,7,15508.090958793897
superior,SUL,2028,8,15894.146475018551
superior,SUL,2028,9,16247.019093466906
superior,SUL,2028,10,16049.39224950389
superior,SUL,2028,11,16901.417046144583
superior,SUL,2028,12,16937.55612618771
